ID,Relationship,Target_ID
HAO:0000204,BFO:0000050,HAO:0000351
HAO:0000205,is_a,HAO:0001094
HAO:0000206,is_a,HAO:0000936
HAO:0000206,BFO:0000050,HAO:0000494
HAO:0000209,is_a,HAO:0000900
HAO:0000209,BFO:0000050,HAO:0000212
HAO:0000210,is_a,HAO:0000822
HAO:0000210,BFO:0000050,HAO:0000212
HAO:0000211,is_a,HAO:0001586
HAO:0000211,BFO:0000050,HAO:0000234
HAO:0000212,is_a,HAO:0000146
HAO:0000212,BFO:0000050,HAO:0000502
HAO:0000214,is_a,HAO:0000078
HAO:0000214,BFO:0000050,HAO:0000324
HAO:0000215,is_a,HAO:0000903
HAO:0000215,BFO:0000050,HAO:0000350
HAO:0000216,is_a,HAO:0000901
HAO:0000216,BFO:0000050,HAO:0000875
HAO:0000217,is_a,HAO:0000024
HAO:0000217,BFO:0000050,HAO:0000397
HAO:0000218,is_a,HAO:0000188
HAO:0000218,BFO:0000050,HAO:0000506
HAO:0000219,is_a,HAO:0000417
HAO:0000219,BFO:0000050,HAO:0000506
HAO:0000220,is_a,HAO:0001485
HAO:0000220,BFO:0000050,HAO:0000151
HAO:0000220,BFO:0000050,HAO:0000909
HAO:0000221,is_a,HAO:0000146
HAO:0000221,BFO:0000050,HAO:0000240
HAO:0000222,is_a,HAO:0000146
HAO:0000222,BFO:0000050,HAO:0000631
HAO:0000223,is_a,HAO:0000829
HAO:0000223,BFO:0000050,HAO:0000909
HAO:0000224,is_a,HAO:0001525
HAO:0000224,BFO:0000050,HAO:0000297
HAO:0000225,is_a,HAO:0001095
HAO:0000226,is_a,HAO:0001091
HAO:0000226,BFO:0000050,HAO:0001191
HAO:0000227,is_a,HAO:0001093
HAO:0000228,is_a,HAO:0000495
HAO:0000228,BFO:0000050,HAO:0000494
HAO:0000229,is_a,HAO:0000345
HAO:0000230,is_a,HAO:0000221
HAO:0000230,BFO:0000050,HAO:0001013
HAO:0000231,is_a,HAO:0000220
HAO:0000231,BFO:0000050,HAO:0000234
HAO:0000232,is_a,HAO:0001172
HAO:0000232,HAO:attached_to,HAO:0000234
HAO:0000232,HAO:attached_to,HAO:0000908
HAO:0000233,is_a,HAO:0001099
HAO:0000234,is_a,HAO:0000909
HAO:0000234,BFO:0000050,HAO:0000397
HAO:0000234,BFO:0000050,HAO:0000398
HAO:0000237,is_a,HAO:0001095
HAO:0000237,BFO:0000050,HAO:0000351
HAO:0000238,is_a,HAO:0000909
HAO:0000238,BFO:0000050,HAO:0000713
HAO:0000239,is_a,HAO:0000829
HAO:0000239,BFO:0000050,HAO:0000703
HAO:0000240,is_a,HAO:0000040
HAO:0000240,BFO:0000050,HAO:0000421
HAO:0000241,is_a,HAO:0000146
HAO:0000242,is_a,HAO:0001146
HAO:0000243,is_a,HAO:0000142
HAO:0000243,BFO:0000050,HAO:0000604
HAO:0000244,is_a,HAO:0000978
HAO:0000244,BFO:0000050,HAO:0000705
HAO:0000245,is_a,HAO:0000899
HAO:0000245,BFO:0000050,HAO:0000705
HAO:0000246,is_a,HAO:0001392
HAO:0000246,HAO:attached_to,HAO:0000386
HAO:0000246,HAO:attached_to,HAO:0000395
HAO:0000247,is_a,HAO:0002041
HAO:0000247,HAO:attached_to,HAO:0000703
HAO:0000247,HAO:attached_to,HAO:0000386
HAO:0000248,is_a,HAO:0000990
HAO:0000249,is_a,HAO:0000142
HAO:0000249,BFO:0000050,HAO:0000239
HAO:0000250,is_a,HAO:0001392
HAO:0000250,HAO:attached_to,HAO:0000707
HAO:0000250,HAO:attached_to,HAO:0000386
HAO:0000251,is_a,HAO:0002052
HAO:0000251,HAO:attached_to,HAO:0000707
HAO:0000251,HAO:attached_to,HAO:0000386
HAO:0000252,is_a,HAO:0000146
HAO:0000252,BFO:0000050,HAO:0000155
HAO:0000254,is_a,HAO:0000648
HAO:0000254,BFO:0000050,HAO:0000853
HAO:0000255,is_a,HAO:0001105
HAO:0000255,HAO:attached_to,HAO:0000825
HAO:0000255,HAO:attached_to,HAO:0000547
HAO:0000256,is_a,HAO:0000188
HAO:0000256,BFO:0000050,HAO:0000555
HAO:0000257,is_a,HAO:0000418
HAO:0000257,BFO:0000050,HAO:0000566
HAO:0000258,is_a,HAO:0000146
HAO:0000258,BFO:0000050,HAO:0000567
HAO:0000259,is_a,HAO:0000648
HAO:0000259,BFO:0000050,HAO:0000567
HAO:0000260,is_a,HAO:0000899
HAO:0000260,BFO:0000050,HAO:0000593
HAO:0000261,is_a,HAO:0000146
HAO:0000261,BFO:0000050,HAO:0000621
HAO:0000262,is_a,HAO:0001108
HAO:0000262,HAO:attached_to,HAO:0001739
HAO:0000262,HAO:attached_to,HAO:0001044
HAO:0000264,is_a,HAO:0001001
HAO:0000264,HAO:attached_to,HAO:0000804
HAO:0000264,HAO:attached_to,HAO:0000997
HAO:0000265,is_a,HAO:0000899
HAO:0000265,BFO:0000050,HAO:0000825
HAO:0000266,is_a,HAO:0001892
HAO:0000266,HAO:attached_to,HAO:0000825
HAO:0000266,HAO:attached_to,HAO:0000790
HAO:0000267,is_a,HAO:0000146
HAO:0000267,BFO:0000050,HAO:0000853
HAO:0000268,is_a,HAO:0000223
HAO:0000268,BFO:0000050,HAO:0000853
HAO:0000269,is_a,HAO:0000418
HAO:0000269,BFO:0000050,HAO:0000853
HAO:0000270,is_a,HAO:0000146
HAO:0000270,BFO:0000050,HAO:0000862
HAO:0000271,is_a,HAO:0000899
HAO:0000271,BFO:0000050,HAO:0000862
HAO:0000272,is_a,HAO:0000418
HAO:0000272,BFO:0000050,HAO:0000604
HAO:0000273,is_a,HAO:0000909
HAO:0000273,BFO:0000050,HAO:0000091
HAO:0000274,is_a,HAO:0001110
HAO:0000274,HAO:attached_to,HAO:0001573
HAO:0000274,HAO:attached_to,HAO:0000804
HAO:0000275,is_a,HAO:0000142
HAO:0000275,BFO:0000050,HAO:0001454
HAO:0000276,is_a,HAO:0001972
HAO:0000277,is_a,HAO:0000008
HAO:0000277,BFO:0000050,HAO:0000929
HAO:0000278,is_a,HAO:0002038
HAO:0000278,HAO:attached_to,HAO:0000386
HAO:0000278,HAO:attached_to,HAO:0000238
HAO:0000279,is_a,HAO:0001392
HAO:0000279,HAO:attached_to,HAO:0000238
HAO:0000279,HAO:attached_to,HAO:0000386
HAO:0000279,BFO:0000050,HAO:0000505
HAO:0000280,is_a,HAO:0000718
HAO:0000280,BFO:0000050,HAO:0000053
HAO:0000281,is_a,HAO:0000146
